"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Heat Waves","Glass Animals","1","22543","63","2557975762","386","28","81","76","53","53","44","0","9","9"
"golden hour","JVKE","1","4511","36","751134527","70","18","94","51","14","59","65","18","25","3"
"Sweater Weather","The Neighbourhood","1","16413","61","2282771485","166","1","124","61","41","81","5","2","10","3"
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","2","8506","45","1356565093","94","14","128","62","55","78","1","3","23","4"
"Viva La Vida","Coldplay","1","33898","62","1592909789","233","9","138","49","42","62","9","0","11","3"
"Here With Me","d4vd","1","3246","23","635412045","94","1","132","58","27","48","50","0","12","3"
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras","2","8576","42","1230675890","216","26","131","71","24","47","1","0","27","9"
"Yandel 150","Yandel, Feid","2","3618","38","585695368","47","14","168","78","58","73","5","0","10","7"
"CORAZ��N VA","Maria Becerra","1","370","20","43857627","12","4","98","68","40","79","33","0","30","6"
"Riptide","Vance Joy","1","31123","55","2009094673","300","1","102","48","50","73","43","0","15","4"
"Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez","2","2790","30","600976848","60","0","101","34","32","57","78","0","20","3"
"Novidade na ��","Mc Livinho, DJ Matt D","2","267","9","39709092","9","2","130","63","36","34","76","0","35","9"
"Back To December (Taylor's Version)","Taylor Swift","1","139","17","39228929","16","0","142","50","20","64","1","0","12","3"
"STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi","2","17050","36","2665343922","492","31","170","59","48","76","4","0","10","5"
"El Merengue","Marshmello, Manuel Turizo","2","2114","44","223633238","80","11","124","78","70","68","3","1","11","4"
"Someone You Loved","Lewis Capaldi","1","17836","53","2887241814","440","0","110","50","45","41","75","0","11","3"
"Me Porto Bonito","Chencho Corleone, Bad Bunny","2","8870","43","1440757818","104","26","92","91","43","71","9","0","9","8"
"Makeba","Jain","1","6060","53","165484133","150","22","116","82","40","66","39","51","25","7"
"MONTAGEM - FR PUNK","Ayparia, unxbected","2","641","50","58054811","1","0","129","63","84","82","70","8","9","7"
"Fast Car","Luke Combs","1","1446","12","157058870","57","0","98","71","67","60","19","0","12","3"
"What It Is (Solo Version)","Doechii","1","804","25","95131998","29","0","172","74","76","76","6","0","10","9"
"Coco Chanel","Bad Bunny, Eladio Carrion","2","1962","38","250305248","28","5","150","68","14","76","4","0","10","4"
"Don���t Bl","Taylor Swift","1","4875","23","685032533","19","0","136","62","19","53","11","0","6","4"
"Still With You","Jung Kook","1","31","39","38411956","2","0","88","53","34","47","9","0","83","4"
"All My Life (feat. J. Cole)","J. Cole, Lil Durk","2","2175","23","144565150","69","2","143","83","69","44","15","0","10","33"
"Say Yes To Heaven","Lana Del Rey","1","2000","46","127567540","49","1","100","49","17","35","71","9","11","3"
"Snooze","SZA","1","2839","25","399686758","58","1","143","56","39","55","14","0","11","13"
"Summertime Sadness","Lana Del Rey","1","20333","52","983637508","89","3","112","56","24","66","7","0","12","3"
"Take Two","BTS","1","674","47","118482347","20","4","93","62","57","59","3","0","38","3"
"Lover","Taylor Swift","1","8448","23","882831184","160","0","206","43","50","55","50","0","15","10"
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver","3","2110","58","286400165","17","2","88","68","17","71","15","0","11","5"
"Chemical","Post Malone","1","2528","39","172825906","56","3","170","50","37","90","0","0","12","5"
"Mockingbird","Eminem","1","12985","61","1241559043","49","5","84","62","24","67","21","0","13","28"
"New Jeans","NewJeans","1","77","35","29562220","8","4","134","81","53","72","51","0","12","5"
"Primera Cita","Carin Leon","1","266","27","77309611","6","6","158","54","50","40","61","0","10","6"
"Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau","3","21097","52","1605224506","384","37","116","80","92","80","4","0","10","3"
"Dandelions","Ruth B.","1","3423","21","1116995633","41","1","117","61","45","69","2","0","9","3"
"Bones","Imagine Dragons","1","4198","44","838079900","98","17","114","77","65","72","2","0","7","5"
"Set Fire to the Rain","Adele","1","14739","43","1163620694","88","5","108","61","47","68","0","0","13","3"
"Money Trees","Kendrick Lamar, Jay Rock","2","26792","32","1093605526","69","0","144","74","37","53","7","0","21","10"
"Tak Segampang Itu","Anggi Marito","1","213","6","179659294","7","0","130","51","18","44","76","0","11","3"
"LAGUNAS","Jasiel Nu��ez, Peso P","2","58","18","39058561","2","2","116","77","79","62","33","1","15","3"
